iso,country_name,Transport,Clean cooking,Cold storage,Television,Mobile telephone,Water access,Sanitation,Nutrition,Education,Housing,Cooling,Heating
CAF,Central African Republic,0.9633826852570108,0.8461212121212122,0.833,0.6558235294117647,0.2560588235294118,0.7414829085372258,0.913747305091796,0.5284025052494261,0.4905135192899888,0.7899207821992902,0.98,0
CAN,Canada,0.33055141449576125,0,0,0,0,0.01233778282119202,0.17589266520055402,0.00208199603318882,0,0,0,0
CHE,Switzerland,0.5637514787774341,0,0,0,0,0.04544597395699201,0.00460665106067592,0.00314190462864333,0.03252693179999994,0,0,0.04485822609892595
CHL,Chile,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.01524197993495202,0.26412298212655505,0.02001308420295416,0.0498075867,0.16379955329677678,0,0.023641450848481
CHN,China,0.989443252806331,0.41,0,0,0,0.23974512970995565,0.35493486065704904,0.005371679784278,0.01381492609999995,0.27434411051481966,0.2755247965487379,0.5108097061804021
CIV,Cote dIvoire,0.9633826852570108,0.85,0.887,0.568,0.1920000000000001,0.6376392546731109,0.8357418398390557,0.17720207967550192,0.3696664047,0.6298837048945428,0.97,0
CMR,Cameroon,0.9633826852570108,0.8160000000000001,0.849,0.544,0.32799999999999996,0.6345781551571597,0.8006365578563798,0.05147875892844258,0.2610832977,0.3924295621026146,0.748283069557553,0
COD,"Congo, the Democratic Republic of the",0.9633826852570108,0.981,0.955,0.85,0.609,0.6965692960584765,0.8662263847595432,0.28970464547834135,0.2840837718628609,0.7100346658782908,0.7605197892057711,0.03570831898051557
COG,Congo,0.9633826852570108,0.838,0.81,0.531,0.1829999999999999,0.558159060835993,0.717357105638291,0.1985118732621448,0.20967095958999837,0.5452032408310642,0.8099023402992169,0
COL,Colombia,0.6905073617646471,0.132,0.17099999999999993,0.06999999999999995,0.04599999999999993,0.27191414548929704,0.834056604530539,0.04981958613747792,0,0.1672908409208318,0.1672908409208318,0.01824824135639754
COM,Comoros,0.9633826852570108,0.955,0.729,0.404,0.27,0.6357559041442222,0.8018826770771855,0.15071239400906228,0.2414587721999999,0.6893654663523299,0.807172249418747,0
CPV,Cape Verde,0.9633826852570108,0.8461212121212122,0.833,0.6558235294117647,0.2560588235294118,0.39052768928001624,0.5424185676761377,0.14280321574235574,0,0.2996393324452614,0.7540989717522079,0
CRI,Costa Rica,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.06543968447389004,0.3445867605880042,0.02560226439174534,0.00533691410000003,0.05566210223255348,0.23226445818660696,0.0088743971639288
CUB,Cuba,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.06253794095966025,0.573091968712278,0.00725680393206943,0.04054382320000002,0.2512055853632935,0.755588933921219,0
CYP,Cyprus,0.5637514787774341,0,0,0,0,0.00386932345752499,0.24449258575933597,0.05973857733866931,0.02386787409999996,0,0.01348296371895407,0.03773266998743978
CZE,Czech Republic,0.5965458237565414,0,0,0,0,0.02119277821865395,0.06530459494683594,0.00787899476183427,0.00676307679999993,0,0,0.24529275826764232
DEU,Germany,0.5637514787774341,0,0,0,0,0.002,0.02771129375040704,0.00171935968922583,0,0,0,0.04485562773121279
